dt,xAcc_mma7455,yAcc_mma7455,zAcc_mma7455
2020-02-19T22:01:17.780177,38,6,67
2020-02-19T22:01:17.792691,38,6,67
2020-02-19T22:01:17.805390,39,6,68
2020-02-19T22:01:17.818023,39,6,67
2020-02-19T22:01:17.830866,39,7,67
2020-02-19T22:01:17.843627,38,5,67
2020-02-19T22:01:17.856304,39,5,67
2020-02-19T22:01:17.869053,39,7,68
2020-02-19T22:01:17.881736,39,5,67
2020-02-19T22:01:17.894362,37,5,68
2020-02-19T22:01:17.907028,38,6,68
2020-02-19T22:01:17.919690,38,6,69
2020-02-19T22:01:17.932316,39,6,68
2020-02-19T22:01:17.944951,38,6,67
2020-02-19T22:01:17.957622,39,5,67
2020-02-19T22:01:17.970375,37,6,67
2020-02-19T22:01:17.983049,38,5,66
2020-02-19T22:01:17.995675,40,6,68
2020-02-19T22:01:18.008328,38,6,66
2020-02-19T22:01:18.021307,38,7,67
2020-02-19T22:01:18.033983,38,5,67
2020-02-19T22:01:18.046607,39,4,67
2020-02-19T22:01:18.059336,39,6,67
2020-02-19T22:01:18.072034,39,6,68
2020-02-19T22:01:18.084699,38,6,69
2020-02-19T22:01:18.097312,37,6,68
2020-02-19T22:01:18.109968,38,6,68
2020-02-19T22:01:18.122640,38,5,68
2020-02-19T22:01:18.135313,39,6,68
2020-02-19T22:01:18.147938,38,6,68
2020-02-19T22:01:18.160820,37,6,67
2020-02-19T22:01:18.173503,38,5,68
2020-02-19T22:01:18.186162,39,6,68
2020-02-19T22:01:18.198804,40,6,68
2020-02-19T22:01:18.211612,38,5,67
2020-02-19T22:01:18.224226,37,6,69
2020-02-19T22:01:18.236894,37,6,67
2020-02-19T22:01:18.249553,39,5,67
2020-02-19T22:01:18.262221,39,7,68
2020-02-19T22:01:18.274842,38,7,68
2020-02-19T22:01:18.287522,38,6,69
2020-02-19T22:01:18.300181,39,6,68
2020-02-19T22:01:18.312781,39,5,67
2020-02-19T22:01:18.325406,37,5,68
2020-02-19T22:01:18.338079,39,6,67
2020-02-19T22:01:18.350734,39,6,67
2020-02-19T22:01:18.363411,37,6,67
2020-02-19T22:01:18.376048,38,6,67
2020-02-19T22:01:18.388726,38,5,67
2020-02-19T22:01:18.401661,39,5,67
2020-02-19T22:01:18.414416,39,7,68
2020-02-19T22:01:18.427061,37,7,68
2020-02-19T22:01:18.439729,38,5,67
2020-02-19T22:01:18.452415,37,6,67
2020-02-19T22:01:18.465083,38,6,68
2020-02-19T22:01:18.477738,38,5,69
2020-02-19T22:01:18.490415,38,6,67
2020-02-19T22:01:18.503098,38,5,68
2020-02-19T22:01:18.515763,38,6,67
2020-02-19T22:01:18.528394,40,5,68
2020-02-19T22:01:18.541196,38,6,67
2020-02-19T22:01:18.553825,39,6,69
2020-02-19T22:01:18.566512,39,5,68
2020-02-19T22:01:18.579235,39,5,68
2020-02-19T22:01:18.591890,38,7,67
2020-02-19T22:01:18.604539,39,7,68
2020-02-19T22:01:18.617224,38,6,67
2020-02-19T22:01:18.629864,39,6,66
2020-02-19T22:01:18.642518,37,6,67
2020-02-19T22:01:18.655152,39,5,69
2020-02-19T22:01:18.667848,38,5,68
2020-02-19T22:01:18.680482,37,7,67
2020-02-19T22:01:18.693140,38,7,69
2020-02-19T22:01:18.705773,39,7,67
2020-02-19T22:01:18.718439,39,6,68
2020-02-19T22:01:18.731349,39,5,67
2020-02-19T22:01:18.744023,38,7,68
2020-02-19T22:01:18.756726,39,5,67
2020-02-19T22:01:18.769437,39,6,67
2020-02-19T22:01:18.782107,38,6,69
2020-02-19T22:01:18.794768,40,5,69
2020-02-19T22:01:18.807385,39,6,68
2020-02-19T22:01:18.820081,38,5,67
2020-02-19T22:01:18.832757,38,5,67
2020-02-19T22:01:18.845411,38,6,68
2020-02-19T22:01:18.858114,37,7,68
2020-02-19T22:01:18.871886,39,6,69
2020-02-19T22:01:18.884542,38,7,68
2020-02-19T22:01:18.897197,38,6,67
2020-02-19T22:01:18.909833,37,6,68
2020-02-19T22:01:18.922503,38,5,68
2020-02-19T22:01:18.935097,39,6,68
2020-02-19T22:01:18.947722,38,5,67
2020-02-19T22:01:18.960397,41,6,67
2020-02-19T22:01:18.973009,38,5,67
2020-02-19T22:01:18.985657,39,5,66
2020-02-19T22:01:18.998324,39,7,68
2020-02-19T22:01:19.011251,36,6,68
2020-02-19T22:01:19.023856,38,6,69
2020-02-19T22:01:19.036485,38,6,68
2020-02-19T22:01:19.049515,39,6,69
2020-02-19T22:01:19.062221,38,7,68
2020-02-19T22:01:19.074885,38,5,68
2020-02-19T22:01:19.087527,37,7,68
2020-02-19T22:01:19.100215,38,7,68
2020-02-19T22:01:19.112886,38,4,67
2020-02-19T22:01:19.125528,38,5,67
2020-02-19T22:01:19.138161,37,6,68
2020-02-19T22:01:19.150900,38,6,67
2020-02-19T22:01:19.163536,40,6,68
2020-02-19T22:01:19.176198,38,5,68
2020-02-19T22:01:19.188829,38,5,68
2020-02-19T22:01:19.201632,38,5,67
2020-02-19T22:01:19.214255,38,6,67
2020-02-19T22:01:19.226912,38,5,67
2020-02-19T22:01:19.239560,38,7,68
2020-02-19T22:01:19.252228,39,6,68
2020-02-19T22:01:19.264829,38,5,68
2020-02-19T22:01:19.277463,40,6,66
2020-02-19T22:01:19.290194,38,5,68
2020-02-19T22:01:19.302882,39,6,68
2020-02-19T22:01:19.315510,37,5,67
2020-02-19T22:01:19.328174,39,6,69
2020-02-19T22:01:19.340817,38,7,66
2020-02-19T22:01:19.353493,39,7,67
2020-02-19T22:01:19.366141,38,5,68
2020-02-19T22:01:19.378815,38,5,68
2020-02-19T22:01:19.391727,38,5,68
2020-02-19T22:01:19.404381,38,5,67
2020-02-19T22:01:19.417021,38,6,67
2020-02-19T22:01:19.429701,37,6,68
2020-02-19T22:01:19.442365,38,6,68
2020-02-19T22:01:19.455029,38,7,67
2020-02-19T22:01:19.467682,39,6,67
2020-02-19T22:01:19.480362,38,5,67
2020-02-19T22:01:19.493018,38,5,68
2020-02-19T22:01:19.505682,39,6,67
2020-02-19T22:01:19.518278,38,6,68
2020-02-19T22:01:19.531234,39,6,66
2020-02-19T22:01:19.543851,39,6,67
2020-02-19T22:01:19.556525,38,7,68
2020-02-19T22:01:19.569320,39,5,68
2020-02-19T22:01:19.581994,38,5,67
2020-02-19T22:01:19.594617,38,6,69
2020-02-19T22:01:19.607273,37,6,68
2020-02-19T22:01:19.619924,38,6,68
2020-02-19T22:01:19.632586,38,5,69
2020-02-19T22:01:19.645202,38,6,68
2020-02-19T22:01:19.657844,40,7,68
2020-02-19T22:01:19.670496,39,6,67
2020-02-19T22:01:19.683171,38,6,67
2020-02-19T22:01:19.695818,38,7,68
2020-02-19T22:01:19.708466,39,4,68
2020-02-19T22:01:19.721421,38,7,67
2020-02-19T22:01:19.734087,37,6,67
2020-02-19T22:01:19.746711,38,7,66
2020-02-19T22:01:19.759379,38,7,68
2020-02-19T22:01:19.772003,38,4,66
2020-02-19T22:01:19.784610,37,6,67
2020-02-19T22:01:19.797236,39,6,68
2020-02-19T22:01:19.809907,39,5,69
2020-02-19T22:01:19.822587,39,5,68
2020-02-19T22:01:19.835258,38,6,68
2020-02-19T22:01:19.847870,39,6,66
2020-02-19T22:01:19.860536,38,6,67
2020-02-19T22:01:19.873226,38,4,68
2020-02-19T22:01:19.886148,38,5,68
2020-02-19T22:01:19.898788,37,6,67
2020-02-19T22:01:19.911601,38,6,68
2020-02-19T22:01:19.924221,39,5,67
2020-02-19T22:01:19.936892,38,6,68
2020-02-19T22:01:19.949532,38,5,69
2020-02-19T22:01:19.963024,39,5,68
2020-02-19T22:01:19.975685,41,5,68
2020-02-19T22:01:19.988367,38,5,68
2020-02-19T22:01:20.001367,38,5,68
2020-02-19T22:01:20.013978,38,7,68
2020-02-19T22:01:20.026615,40,6,67
2020-02-19T22:01:20.039341,38,5,67
2020-02-19T22:01:20.052031,38,5,67
2020-02-19T22:01:20.064683,38,7,67
2020-02-19T22:01:20.077307,37,6,68
2020-02-19T22:01:20.090001,39,5,68
2020-02-19T22:01:20.102682,38,5,68
2020-02-19T22:01:20.115331,39,6,68
2020-02-19T22:01:20.127958,40,6,68
2020-02-19T22:01:20.140839,37,5,67
2020-02-19T22:01:20.153523,39,6,67
2020-02-19T22:01:20.166196,38,6,68
2020-02-19T22:01:20.178840,38,7,67
2020-02-19T22:01:20.191722,39,6,67
2020-02-19T22:01:20.204378,39,8,67
2020-02-19T22:01:20.217043,37,5,67
2020-02-19T22:01:20.229690,38,6,67
2020-02-19T22:01:20.242344,38,7,68
2020-02-19T22:01:20.254965,39,5,68
2020-02-19T22:01:20.267650,39,6,67
2020-02-19T22:01:20.280303,39,6,67
2020-02-19T22:01:20.292952,39,7,66
2020-02-19T22:01:20.305583,38,6,67
2020-02-19T22:01:20.318242,38,5,69
2020-02-19T22:01:20.331161,38,6,67
2020-02-19T22:01:20.343811,38,6,68
2020-02-19T22:01:20.356446,39,6,67
2020-02-19T22:01:20.369314,38,6,69
2020-02-19T22:01:20.381991,37,5,67
2020-02-19T22:01:20.394634,39,6,67
2020-02-19T22:01:20.407226,38,5,67
2020-02-19T22:01:20.419884,39,6,68
2020-02-19T22:01:20.432567,37,6,68
2020-02-19T22:01:20.445232,39,7,67
2020-02-19T22:01:20.457854,38,5,67
2020-02-19T22:01:20.470564,39,6,66
2020-02-19T22:01:20.483251,38,7,68
2020-02-19T22:01:20.495906,38,7,68
2020-02-19T22:01:20.508513,38,6,68
2020-02-19T22:01:20.521294,39,5,67
2020-02-19T22:01:20.533925,39,6,66
2020-02-19T22:01:20.546585,39,6,69
2020-02-19T22:01:20.559219,39,5,67
2020-02-19T22:01:20.571900,39,6,67
2020-02-19T22:01:20.584534,39,6,68
2020-02-19T22:01:20.597202,38,5,68
2020-02-19T22:01:20.609839,38,6,68
2020-02-19T22:01:20.622443,38,6,68
2020-02-19T22:01:20.635078,38,7,68
2020-02-19T22:01:20.647689,38,6,68
2020-02-19T22:01:20.660352,39,6,67
2020-02-19T22:01:20.675636,38,5,67
2020-02-19T22:01:20.688350,38,6,68
2020-02-19T22:01:20.701352,37,7,67
2020-02-19T22:01:20.713954,40,7,68
2020-02-19T22:01:20.726574,39,7,65
2020-02-19T22:01:20.739421,38,6,68
2020-02-19T22:01:20.752121,38,6,68
2020-02-19T22:01:20.764770,39,5,67
2020-02-19T22:01:20.777383,38,6,68
2020-02-19T22:01:20.790404,38,5,69
2020-02-19T22:01:20.803099,39,5,68
2020-02-19T22:01:20.815751,38,5,67
2020-02-19T22:01:20.828335,39,7,67
2020-02-19T22:01:20.841309,38,6,68
2020-02-19T22:01:20.853940,37,6,68
2020-02-19T22:01:20.866600,38,5,69
2020-02-19T22:01:20.879271,38,6,66
2020-02-19T22:01:20.891927,39,6,68
2020-02-19T22:01:20.904555,39,6,69
2020-02-19T22:01:20.917223,38,5,69
2020-02-19T22:01:20.929899,38,5,69
2020-02-19T22:01:20.942549,39,5,69
2020-02-19T22:01:20.955182,38,7,69
2020-02-19T22:01:20.967950,39,7,68
2020-02-19T22:01:20.980698,38,7,66
2020-02-19T22:01:20.993355,39,4,68
2020-02-19T22:01:21.005985,39,6,67
2020-02-19T22:01:21.018668,38,5,67
2020-02-19T22:01:21.031604,40,6,68
2020-02-19T22:01:21.044188,37,5,67
2020-02-19T22:01:21.057653,39,6,67
2020-02-19T22:01:21.070391,38,6,68
2020-02-19T22:01:21.083075,38,6,67
2020-02-19T22:01:21.095747,38,5,68
2020-02-19T22:01:21.108381,37,6,67
2020-02-19T22:01:21.121211,38,6,68
2020-02-19T22:01:21.133847,39,6,68
2020-02-19T22:01:21.146522,38,5,67
2020-02-19T22:01:21.159225,38,6,67
